id_transaccion,ingreso,gasto,id_gasto
txn6733837885,0.0,122.71,exp0045
txn5900149149,0.0,8.7,exp0036
txn3199978512,0.0,49.21,exp0099
txn2781215744,0.0,485.59,exp0024
txn6076517866,0.0,789.41,exp0034
txn2791085173,0.0,7.31,exp0042
txn6547930130,0.0,1.1,exp0076
txn8528983977,0.0,610.4,exp0083
txn8617035552,0.0,172617.06,exp0093
txn6530445838,848.75,0.0,exp0004
txn1060308648,0.0,81502.35,exp0002
txn3961235971,0.0,1056.86,exp0044
txn5459468200,0.0,179378.59,exp0084
txn5697438006,0.0,402.09,exp0022
txn6591631324,0.0,6.46,exp0025
txn1939623321,0.0,141561.73,exp0030
txn7274651120,0.0,369.06,exp0067
txn9516873817,0.0,51514.27,exp0029
txn4241060792,0.0,689.93,exp0033
txn7520418755,0.0,207.25,exp0072
txn5367880897,0.0,314.35,exp0077
txn3553688457,0.0,129376.0,exp0015
txn5466682991,0.0,55872.7,exp0040
txn5788443644,0.0,367.49,exp0023
txn7629596201,0.0,5.41,exp0055
txn6360370463,0.0,55019.06,exp0048
txn7429941741,0.0,106797.36,exp0028
txn7165170521,0.0,855.69,exp0021
txn2223906076,0.0,138632.0,exp0089
txn3020487407,0.0,1308.7,exp0031
txn4485918757,0.0,153846.59,exp0006
txn9687785011,0.0,960.74,exp0010
txn8504635043,0.0,376.41,exp0079
txn8728111668,0.0,731.7,exp0039
txn6713153566,0.0,915.49,exp0001
txn1200917231,40.76,0.0,exp0016
txn2617130936,0.0,110890.0,exp0082
txn2867639416,0.0,202.3,exp0069
txn6756460408,0.0,755.42,exp0085
