id_transaccion,misma_divisa
txn6733837885,false
txn5900149149,false
txn3199978512,true
txn2781215744,true
txn6076517866,true
txn2791085173,false
txn6547930130,false
txn8528983977,true
txn8617035552,false
txn6530445838,true
txn1060308648,false
txn3961235971,false
txn5459468200,false
txn5697438006,true
txn6591631324,false
txn1939623321,false
txn7274651120,true
txn9516873817,false
txn4241060792,true
txn7520418755,false
txn5367880897,true
txn3553688457,false
txn5466682991,false
txn5788443644,false
txn7629596201,false
txn6360370463,false
txn7429941741,false
txn7165170521,true
txn2223906076,false
txn3020487407,false
txn4485918757,false
txn9687785011,false
txn8504635043,true
txn8728111668,false
txn6713153566,false
txn1200917231,true
txn2617130936,false
txn2867639416,false
txn6756460408,false
