id_transaccion,explicacion_anomalia
txn8617035552,"POSIBLE ANOMALÍA DETECTADA (score: -0.09). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 1128.65 y importe pagado 172617.06. Comisión: 1726.17, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 172617.06. Score de anomalía: -0.09"
txn1939623321,"POSIBLE ANOMALÍA DETECTADA (score: -0.06). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 1197.83 y importe pagado 141561.73. Comisión: 1415.62, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 141561.73. Score de anomalía: -0.06"
txn6360370463,"POSIBLE ANOMALÍA DETECTADA (score: -0.01). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 359.74 y importe pagado 55019.06. Comisión: 550.19, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 55019.06. Score de anomalía: -0.01"
txn1060308648,"POSIBLE ANOMALÍA DETECTADA (score: -0.02). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 532.9 y importe pagado 81502.35. Comisión: 815.02, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 81502.35. Score de anomalía: -0.02"
txn5459468200,"POSIBLE ANOMALÍA DETECTADA (score: -0.12). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 1172.86 y importe pagado 179378.59. Comisión: 1793.79, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 179378.59. Score de anomalía: -0.12"
txn4485918757,"POSIBLE ANOMALÍA DETECTADA (score: -0.06). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 1005.92 y importe pagado 153846.59. Comisión: 1538.47, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 153846.59. Score de anomalía: -0.06"
txn9516873817,"POSIBLE ANOMALÍA DETECTADA (score: -0.02). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 435.89 y importe pagado 51514.27. Comisión: 515.14, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 51514.27. Score de anomalía: -0.02"
txn7429941741,"POSIBLE ANOMALÍA DETECTADA (score: -0.01). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 903.67 y importe pagado 106797.36. Comisión: 1067.97, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 106797.36. Score de anomalía: -0.01"
txn2223906076,"POSIBLE ANOMALÍA DETECTADA (score: -0.04). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 906.44 y importe pagado 138632.0. Comisión: 1386.32, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 138632.0. Score de anomalía: -0.04"
txn3553688457,"POSIBLE ANOMALÍA DETECTADA (score: -0.02). Razón más probable: El importe pagado es significativamente diferente al importe original. Detalles: Transacción con importe original 995.2 y importe pagado 129376.0. Comisión: 1293.76, Tasa impuestos: 0.1, Ingreso: 0.0, Gasto: 129376.0. Score de anomalía: -0.02"
