id_transaccion,mensaje_personalizado
txn1939623321,""
txn8617035552,Possible error: The description does not match 'transporte'. Suggestion: consider 'entretenimiento' (similarity: 0.14)
txn6360370463,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'compras' (similarity: 0.30)
txn1200917231,Possible error: The description does not match 'ingresos'. Suggestion: consider 'transporte' (similarity: 0.13)
txn2791085173,Possible error: The description does not match 'salud'. Suggestion: consider 'compras' (similarity: 0.14)
txn6591631324,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'entretenimiento' (similarity: 0.20)
txn3020487407,Possible error: The description does not match 'salud'. Suggestion: consider 'entretenimiento' (similarity: 0.27)
txn7429941741,""
txn5900149149,Possible error: The description does not match 'transporte'. Suggestion: consider 'compras' (similarity: 0.15)
txn6076517866,Possible error: The description does not match 'salud'. Suggestion: consider 'entretenimiento' (similarity: 0.19)
txn7520418755,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'compras' (similarity: 0.11)
txn7629596201,Possible error: The description does not match 'salud'. Suggestion: consider 'transporte' (similarity: 0.24)
txn8504635043,Possible error: The description does not match 'salud'. Suggestion: consider 'ingresos' (similarity: 0.19)
txn9516873817,""
txn5697438006,Possible error: The description does not match 'salud'. Suggestion: consider 'cajero automatico' (similarity: 0.21)
txn2867639416,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'entretenimiento' (similarity: 0.20)
txn8728111668,Possible error: The description does not match 'transporte'. Suggestion: consider 'entretenimiento' (similarity: 0.16)
txn9687785011,Possible error: The description does not match 'salud'. Suggestion: consider 'transporte' (similarity: 0.11)
txn7274651120,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'compras' (similarity: 0.27)
txn5459468200,Possible error: The description does not match 'salud'. Suggestion: consider 'entretenimiento' (similarity: 0.19)
txn5466682991,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'transporte' (similarity: 0.21)
txn6733837885,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'entretenimiento' (similarity: 0.27)
txn2223906076,""
txn6713153566,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'compras' (similarity: 0.17)
txn4241060792,Possible error: The description does not match 'salud'. Suggestion: consider 'entretenimiento' (similarity: 0.30)
txn6547930130,Possible error: The description does not match 'salud'. Suggestion: consider 'cajero automatico' (similarity: 0.11)
txn1060308648,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'cajero automatico' (similarity: 0.18)
txn2617130936,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'ingresos' (similarity: 0.15)
txn2781215744,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'transporte' (similarity: 0.24)
txn7165170521,Possible error: The description does not match 'salud'. Suggestion: consider 'transporte' (similarity: 0.21)
txn5367880897,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'transporte' (similarity: 0.11)
txn3199978512,Possible error: The description does not match 'salud'. Suggestion: consider 'transporte' (similarity: 0.12)
txn3961235971,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'entretenimiento' (similarity: 0.16)
txn5788443644,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'compras' (similarity: 0.25)
txn3553688457,Possible error: The description does not match 'alimentacion'. Suggestion: consider 'transporte' (similarity: 0.13)
txn6530445838,Possible error: The description does not match 'ingresos'. Suggestion: consider 'cajero automatico' (similarity: 0.10)
txn6756460408,Possible error: The description does not match 'cajero automatico'. Suggestion: consider 'transporte' (similarity: 0.16)
txn4485918757,""
txn8528983977,Possible error: The description does not match 'salud'. Suggestion: consider 'entretenimiento' (similarity: 0.19)
