id_transaccion,tipo,descripcion,descripcion_gasto
txn7429941741,transfer in,mathis ltd,target user-centric relationships
txn5459468200,subscription,norton llc,mesh revolutionary solutions
txn4485918757,atm withdrawal,"carter, martinez and cook",engage front-end systems
txn6360370463,transfer in,"owens, ellis and garcia",enable world-class platforms
txn3553688457,transfer in,graham-brown,strategize 24/365 portals
txn2223906076,subscription,robinson-pittman,transform front-end e-business
txn1060308648,subscription,"jones, jefferson and rivera",whiteboard best-of-breed schemas
txn8617035552,online payment,"payne, campbell and singh",harness bleeding-edge relationships
txn9516873817,atm withdrawal,"thompson, bennett and carter",disintermediate e-business supply-chains
txn1939623321,transfer in,"johnson, nelson and hernandez",enable distributed initiatives
